+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 3    | Sacred Sword            |   13 |  30.23% |  61.54% |
| 4    | Swords Dance            |    7 |  16.28% |  28.57% |
| 5    | Defog                   |    4 |   9.30% |  50.00% |
| 6    | Breakneck Blitz         |    3 |   6.98% | 100.00% |
| 6    | Smart Strike            |    3 |   6.98% |  66.67% |
| 8    | All-Out Pummeling       |    2 |   4.65% |   0.00% |
| 8    | Synthesis               |    2 |   4.65% |   0.00% |
| 8    | Black Hole Eclipse      |    2 |   4.65% |   0.00% |
| 11   | Giga Impact             |    1 |   2.33% | 100.00% |
| 11   | Return                  |    1 |   2.33% | 100.00% |
| 11   | Bloom Doom              |    1 |   2.33% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
